County,State,Female high school graduate or higher,Female Percent bachelor's degree or higher,Male Percent high school graduate or higher,Male Percent bachelor's degree or higher,Total Percent high school graduate or higher,Total Percent bachelor's degree or higher
Baldwin County, Alabama,0.921,0.314,0.894,0.275,0.908,0.295
Calhoun County, Alabama,0.824,0.173,0.816,0.173,0.82,0.173
Cullman County, Alabama,0.81,0.121,0.84,0.135,0.825,0.128
DeKalb County, Alabama,0.716,0.11,0.668,0.09,0.693,0.1
Elmore County, Alabama,0.881,0.209,0.793,0.206,0.84,0.207
Etowah County, Alabama,0.831,0.169,0.846,0.177,0.838,0.173
Houston County, Alabama,0.875,0.212,0.853,0.213,0.865,0.213
Jefferson County, Alabama,0.9,0.319,0.881,0.312,0.891,0.316
Lauderdale County, Alabama,0.847,0.251,0.869,0.216,0.857,0.235
Lee County, Alabama,0.922,0.339,0.905,0.347,0.914,0.343
Limestone County, Alabama,0.857,0.251,0.829,0.267,0.843,0.259
Madison County, Alabama,0.923,0.392,0.902,0.437,0.913,0.414
Marshall County, Alabama,0.801,0.156,0.773,0.18,0.787,0.168
Mobile County, Alabama,0.87,0,0.833,0.213,0.853,0.235
Montgomery County, Alabama,0.86,0.299,0.848,0.336,0.855,0.316
Morgan County, Alabama,0.831,0.221,0.819,0.224,0.825,0.222
St. Clair County, Alabama,0.857,0.137,0.814,0.126,0.836,0.132
Shelby County, Alabama,0.927,0.398,0.905,0.411,0.917,0.404
Talladega County, Alabama,0.795,0.169,0.71,0.121,0.754,0.146
Tuscaloosa County, Alabama,0.855,0.314,0.877,0.305,0.866,0.31
Walker County, Alabama,0.853,0.116,0.79,0.069,0.823,0.094
Anchorage Municipality, Alaska,0.936,0.364,0.95,0.348,0.943,0.356
Fairbanks North Star Borough, Alaska,0.945,0.384,0.96,0.309,0.953,0.345
Matanuska-Susitna Borough, Alaska,0.913,0.223,0.918,0.183,0.916,0.202
Apache County, Arizona,0.795,0.162,0.788,0.099,0.792,0.131
Cochise County, Arizona,0.863,0.199,0.862,0.196,0.863,0.198
Coconino County, Arizona,0.888,0.342,0.902,0.319,0.895,0.331
Maricopa County, Arizona,0.871,0.299,0.864,0.314,0.868,0.306
Mohave County, Arizona,0.874,0.12,0.838,0.119,0.856,0.119
Navajo County, Arizona,0.838,0.163,0.838,0.15,0.838,0.157
Pima County, Arizona,0.875,0.312,0.872,0.31,0.873,0.311
Pinal County, Arizona,0.863,0.175,0.815,0.174,0.838,0.175
Yavapai County, Arizona,0.912,0.266,0.891,0.263,0.902,0.265
Yuma County, Arizona,0.697,0.157,0.716,0.151,0.707,0.154
Benton County, Arkansas,0.876,0.324,0.874,0.33,0.875,0.327
Craighead County, Arkansas,0.908,0.258,0.882,0.24,0.896,0.25
Faulkner County, Arkansas,0.923,0.324,0.921,0.306,0.922,0.315
Garland County, Arkansas,0.878,0.2,0.87,0.186,0.874,0.194
Jefferson County, Arkansas,0.876,0.193,0.824,0.099,0.851,0.147
Lonoke County, Arkansas,0.879,0.214,0.878,0.217,0.879,0.215
Pulaski County, Arkansas,0.891,0.349,0.881,0.329,0.887,0.339
Saline County, Arkansas,0.886,0.234,0.906,0.267,0.896,0.25
Sebastian County, Arkansas,0.818,0.185,0.806,0.19,0.812,0.187
Washington County, Arkansas,0.855,0.326,0.847,0.32,0.851,0.323
White County, Arkansas,0.848,0.22,0.794,0.141,0.821,0.182
Alameda County, California,0.878,0.45,0.873,0.453,0.875,0.451
Butte County, California,0.893,0.282,0.876,0.273,0.884,0.278
Contra Costa County, California,0.899,0.401,0.877,0.403,0.889,0.402
El Dorado County, California,0.948,0.305,0.92,0.359,0.934,0.332
Fresno County, California,0.762,0.2,0.726,0.184,0.744,0.192
Humboldt County, California,0.888,0.27,0.882,0.275,0.885,0.272
Imperial County, California,0.684,0.143,0.649,0.144,0.666,0.143
Kern County, California,0.753,0.175,0.715,0.149,0.734,0.162
Kings County, California,0.741,0.188,0.715,0.14,0.727,0.161
Lake County, California,0.841,0.133,0.869,0.118,0.855,0.125
Los Angeles County, California,0.78,0.309,0.782,0.308,0.781,0.308
Madera County, California,0.747,0.146,0.706,0.163,0.728,0.154
Marin County, California,0.94,0.596,0.905,0.582,0.924,0.589
Mendocino County, California,0.886,0.267,0.875,0.272,0.88,0.27
Merced County, California,0.707,0.152,0.656,0.137,0.682,0.144
Monterey County, California,0.717,0.251,0.663,0.215,0.69,0.233
Napa County, California,0.853,0.33,0.837,0.326,0.845,0.328
Nevada County, California,0.943,0.353,0.93,0.325,0.937,0.339
Orange County, California,0.843,0.379,0.839,0.396,0.841,0.388
Placer County, California,0.935,0.352,0.932,0.389,0.934,0.369
Riverside County, California,0.81,0.199,0.797,0.216,0.804,0.207
Sacramento County, California,0.872,0.295,0.871,0.297,0.872,0.296
San Bernardino County, California,0.804,0.204,0.773,0.183,0.789,0.194
San Diego County, California,0.857,0.366,0.875,0.378,0.866,0.372
San Francisco County, California,0.86,0.555,0.891,0.549,0.876,0.552
San Joaquin County, California,0.791,0.195,0.77,0.181,0.781,0.188
San Luis Obispo County, California,0.913,0.347,0.892,0.335,0.903,0.341
San Mateo County, California,0.88,0.473,0.879,0.469,0.879,0.471
Santa Barbara County, California,0.809,0.322,0.791,0.342,0.8,0.332
Santa Clara County, California,0.867,0.479,0.88,0.512,0.873,0.495
Santa Cruz County, California,0.844,0.378,0.839,0.365,0.841,0.371
Shasta County, California,0.924,0.222,0.88,0.218,0.903,0.22
Solano County, California,0.886,0.276,0.864,0.237,0.876,0.257
Sonoma County, California,0.889,0.338,0.85,0.318,0.87,0.328
Stanislaus County, California,0.771,0.164,0.773,0.165,0.772,0.164
Sutter County, California,0.77,0.155,0.751,0.171,0.761,0.163
Tulare County, California,0.709,0.147,0.672,0.137,0.691,0.142
Ventura County, California,0.842,0.321,0.817,0.334,0.829,0.327
Yolo County, California,0.883,0.408,0.868,0.443,0.876,0.425
Yuba County, California,0.824,0.142,0.83,0.134,0.827,0.138
Adams County, Colorado,0.835,0.242,0.806,0.214,0.82,0.228
Arapahoe County, Colorado,0.931,0.405,0.93,0.416,0.931,0.41
Boulder County, Colorado,0.947,0.6,0.945,0.612,0.946,0.606
Broomfield County, Colorado,0.983,0.586,0.955,0.535,0.97,0.561
Denver County, Colorado,0.852,0.49,0.864,0.452,0.858,0.471
Douglas County, Colorado,0.983,0.527,0.98,0.596,0.982,0.561
El Paso County, Colorado,0.947,0.353,0.943,0.376,0.945,0.364
Jefferson County, Colorado,0.947,0.437,0.94,0.427,0.944,0.432
Larimer County, Colorado,0.967,0.465,0.949,0.458,0.958,0.462
Mesa County, Colorado,0.913,0.307,0.903,0.299,0.908,0.303
Pueblo County, Colorado,0.871,0.219,0.874,0.213,0.872,0.216
Weld County, Colorado,0.876,0.277,0.866,0.242,0.871,0.259
Fairfield County, Connecticut,0.905,0.457,0.897,0.469,0.901,0.463
Hartford County, Connecticut,0.899,0.366,0.886,0.382,0.893,0.374
Litchfield County, Connecticut,0.925,0.37,0.914,0.298,0.919,0.335
Middlesex County, Connecticut,0.938,0.41,0.917,0.396,0.928,0.404
New Haven County, Connecticut,0.899,0.347,0.892,0.338,0.895,0.343
New London County, Connecticut,0.926,0.345,0.902,0.324,0.914,0.334
Tolland County, Connecticut,0.958,0.433,0.933,0.395,0.946,0.414
Windham County, Connecticut,0.895,0.258,0.87,0.233,0.883,0.246
Kent County, Delaware,0.876,0.217,0.852,0.209,0.865,0.213
New Castle County, Delaware,0.924,0.362,0.893,0.354,0.909,0.358
Sussex County, Delaware,0.87,0.265,0.846,0.258,0.859,0.262
District of Columbia, District of Columbia,0.904,0.551,0.892,0.586,0.898,0.567
Alachua County, Florida,0.946,0.434,0.905,0.447,0.926,0.44
Bay County, Florida,0.905,0.207,0.877,0.253,0.891,0.23
Brevard County, Florida,0.919,0.266,0.916,0.303,0.918,0.284
Broward County, Florida,0.883,0.319,0.882,0.326,0.882,0.322
Charlotte County, Florida,0.928,0.209,0.887,0.212,0.908,0.21
Citrus County, Florida,0.871,0.167,0.851,0.157,0.861,0.162
Clay County, Florida,0.907,0.228,0.893,0.248,0.9,0.238
Collier County, Florida,0.879,0.321,0.857,0.385,0.868,0.352
Columbia County, Florida,0.879,0.152,0.856,0.151,0.867,0.151
Duval County, Florida,0.897,0.298,0.88,0.281,0.889,0.29
Escambia County, Florida,0.917,0.241,0.911,0.263,0.914,0.252
Flagler County, Florida,0.94,0.246,0.933,0.278,0.937,0.261
Hernando County, Florida,0.896,0.161,0.87,0.188,0.884,0.174
Highlands County, Florida,0.864,0.173,0.822,0.179,0.844,0.176
Hillsborough County, Florida,0.895,0.321,0.867,0.328,0.882,0.325
Indian River County, Florida,0.918,0.229,0.862,0.286,0.892,0.256
Lake County, Florida,0.917,0.227,0.89,0.225,0.904,0.226
Lee County, Florida,0.875,0.254,0.865,0.271,0.87,0.262
Leon County, Florida,0.934,0.444,0.926,0.437,0.93,0.441
Manatee County, Florida,0.886,0.252,0.873,0.289,0.88,0.269
Marion County, Florida,0.893,0.171,0.882,0.227,0.888,0.197
Martin County, Florida,0.914,0.319,0.903,0.364,0.909,0.341
Miami-Dade County, Florida,0.802,0.274,0.805,0.274,0.803,0.274
Monroe County, Florida,0.925,0.362,0.886,0.329,0.905,0.345
Nassau County, Florida,0.899,0.24,0.892,0.214,0.896,0.227
Okaloosa County, Florida,0.915,0.278,0.915,0.32,0.915,0.299
Orange County, Florida,0.885,0.33,0.888,0.312,0.887,0.321
Osceola County, Florida,0.881,0.234,0.875,0.166,0.878,0.201
Palm Beach County, Florida,0.899,0.343,0.872,0.373,0.886,0.357
Pasco County, Florida,0.894,0.221,0.88,0.22,0.887,0.221
Pinellas County, Florida,0.921,0.292,0.899,0.306,0.911,0.299
Polk County, Florida,0.851,0.192,0.819,0.19,0.836,0.191
Putnam County, Florida,0.836,0.095,0.762,0.111,0.799,0.103
St. Johns County, Florida,0.95,0.414,0.949,0.481,0.949,0.446
St. Lucie County, Florida,0.862,0.212,0.832,0.185,0.848,0.2
Santa Rosa County, Florida,0.89,0.28,0.889,0.28,0.889,0.28
Sarasota County, Florida,0.93,0.324,0.925,0.378,0.928,0.349
Seminole County, Florida,0.939,0.351,0.938,0.369,0.938,0.359
Sumter County, Florida,0.958,0.321,0.895,0.339,0.926,0.33
Volusia County, Florida,0.914,0.215,0.892,0.236,0.904,0.225
Barrow County, Georgia,0.84,0.173,0.784,0.158,0.814,0.166
Bartow County, Georgia,0.856,0.181,0.789,0.158,0.824,0.17
Bibb County, Georgia,0.851,0.249,0.866,0.257,0.858,0.253
Bulloch County, Georgia,0.874,0.258,0.887,0.312,0.88,0.284
Carroll County, Georgia,0.853,0.189,0.827,0.218,0.841,0.203
Catoosa County, Georgia,0.874,0.2,0.859,0.195,0.866,0.198
Chatham County, Georgia,0.905,0.329,0.891,0.312,0.898,0.321
Cherokee County, Georgia,0.917,0.38,0.916,0.396,0.916,0.388
Clarke County, Georgia,0.839,0.428,0.863,0.471,0.851,0.448
Clayton County, Georgia,0.861,0.211,0.829,0.167,0.847,0.191
Cobb County, Georgia,0.915,0.454,0.889,0.45,0.903,0.452
Columbia County, Georgia,0.926,0.38,0.899,0.325,0.913,0.354
Coweta County, Georgia,0.899,0.285,0.911,0.296,0.905,0.291
DeKalb County, Georgia,0.897,0.435,0.856,0.407,0.878,0.422
Dougherty County, Georgia,0.842,0.217,0.793,0.204,0.82,0.211
Douglas County, Georgia,0.894,0.334,0.888,0.294,0.892,0.316
Fayette County, Georgia,0.935,0.455,0.951,0.481,0.943,0.467
Floyd County, Georgia,0.799,0.192,0.781,0.178,0.79,0.185
Forsyth County, Georgia,0.927,0.46,0.92,0.506,0.924,0.482
Fulton County, Georgia,0.928,0.488,0.905,0.51,0.917,0.499
Glynn County, Georgia,0.892,0.308,0.873,0.266,0.883,0.289
Gwinnett County, Georgia,0.874,0.364,0.869,0.342,0.872,0.354
Hall County, Georgia,0.804,0.229,0.779,0.224,0.792,0.227
Henry County, Georgia,0.921,0.307,0.875,0.255,0.9,0.284
Houston County, Georgia,0.886,0.193,0.921,0.232,0.903,0.211
Liberty County, Georgia,0.9,0.199,0.898,0.15,0.899,0.174
Lowndes County, Georgia,0.829,0.217,0.822,0.234,0.825,0.225
Muscogee County, Georgia,0.878,0.255,0.857,0.234,0.868,0.245
Newton County, Georgia,0.858,0.203,0.863,0.198,0.86,0.201
Paulding County, Georgia,0.881,0.248,0.903,0.209,0.892,0.229
Richmond County, Georgia,0.849,0.216,0.808,0.207,0.83,0.212
Rockdale County, Georgia,0.881,0.266,0.861,0.238,0.872,0.253
Troup County, Georgia,0.842,0.164,0.805,0.182,0.825,0.172
Walker County, Georgia,0.816,0.138,0.771,0.164,0.795,0.15
Walton County, Georgia,0.882,0.192,0.853,0.197,0.868,0.195
Whitfield County, Georgia,0.695,0.152,0.665,0.127,0.681,0.14
Hawaii County, Hawaii,0.922,0.298,0.906,0.276,0.914,0.287
Honolulu County, Hawaii,0.9,0.34,0.912,0.324,0.906,0.332
Kauai County, Hawaii,0.928,0.309,0.928,0.24,0.928,0.275
Maui County, Hawaii,0.916,0.27,0.904,0.237,0.91,0.253
Ada County, Idaho,0.949,0.341,0.945,0.405,0.947,0.373
Bannock County, Idaho,0.918,0.241,0.925,0.245,0.921,0.243
Bonneville County, Idaho,0.903,0.287,0.902,0.316,0.903,0.301
Canyon County, Idaho,0.863,0.163,0.834,0.176,0.849,0.169
Kootenai County, Idaho,0.913,0.227,0.919,0.238,0.916,0.232
Twin Falls County, Idaho,0.866,0.171,0.872,0.191,0.869,0.18
Adams County, Illinois,0.946,0.219,0.922,0.199,0.934,0.209
Champaign County, Illinois,0.964,0.465,0.945,0.453,0.955,0.459
Cook County, Illinois,0.868,0.371,0.856,0.359,0.862,0.365
DeKalb County, Illinois,0.918,0.332,0.928,0.286,0.922,0.31
DuPage County, Illinois,0.924,0.437,0.92,0.483,0.922,0.459
Kane County, Illinois,0.835,0.309,0.823,0.315,0.829,0.312
Kankakee County, Illinois,0.879,0.208,0.851,0.208,0.866,0.208
Kendall County, Illinois,0.97,0.395,0.956,0.374,0.963,0.385
Lake County, Illinois,0.909,0.428,0.898,0.459,0.903,0.443
LaSalle County, Illinois,0.908,0.174,0.861,0.156,0.885,0.165
McHenry County, Illinois,0.937,0.328,0.931,0.327,0.934,0.328
McLean County, Illinois,0.957,0.452,0.957,0.478,0.957,0.464
Macon County, Illinois,0.915,0.239,0.87,0.229,0.894,0.234
Madison County, Illinois,0.93,0.261,0.924,0.235,0.927,0.249
Peoria County, Illinois,0.894,0.281,0.904,0.32,0.899,0.299
Rock Island County, Illinois,0.888,0.211,0.874,0.241,0.881,0.226
St. Clair County, Illinois,0.9,0.282,0.896,0.248,0.898,0.266
Sangamon County, Illinois,0.921,0.334,0.916,0.357,0.918,0.345
Tazewell County, Illinois,0.915,0.261,0.929,0.244,0.922,0.253
Vermilion County, Illinois,0.876,0.141,0.874,0.12,0.875,0.13
Will County, Illinois,0.911,0.344,0.897,0.322,0.904,0.333
Williamson County, Illinois,0.925,0.247,0.945,0.187,0.935,0.218
Winnebago County, Illinois,0.889,0.224,0.857,0.225,0.874,0.224
Allen County, Indiana,0.899,0.267,0.886,0.296,0.892,0.281
Bartholomew County, Indiana,0.919,0.281,0.916,0.312,0.918,0.296
Clark County, Indiana,0.908,0.238,0.888,0.197,0.899,0.218
Delaware County, Indiana,0.9,0.229,0.903,0.232,0.901,0.231
Elkhart County, Indiana,0.813,0.196,0.787,0.17,0.8,0.183
Floyd County, Indiana,0.88,0.312,0.925,0.255,0.901,0.285
Grant County, Indiana,0.866,0.143,0.875,0.144,0.87,0.144
Hamilton County, Indiana,0.956,0.532,0.962,0.59,0.958,0.559
Hancock County, Indiana,0.936,0.327,0.926,0.294,0.931,0.311
Hendricks County, Indiana,0.941,0.374,0.94,0.378,0.941,0.376
Howard County, Indiana,0.879,0.178,0.866,0.198,0.873,0.188
Johnson County, Indiana,0.914,0.307,0.927,0.335,0.92,0.32
Kosciusko County, Indiana,0.853,0.204,0.851,0.207,0.852,0.205
Lake County, Indiana,0.881,0.226,0.875,0.207,0.878,0.217
LaPorte County, Indiana,0.888,0.203,0.856,0.151,0.872,0.176
Madison County, Indiana,0.888,0.197,0.865,0.17,0.877,0.184
Marion County, Indiana,0.867,0.298,0.826,0.286,0.848,0.292
Monroe County, Indiana,0.931,0.463,0.925,0.458,0.928,0.46
Morgan County, Indiana,0.851,0.141,0.887,0.163,0.869,0.152
Porter County, Indiana,0.908,0.27,0.934,0.276,0.92,0.273
